Group,class,class2,augmen2,Latitude,Longitude,DENSITY,LnDENSITY,npp,biodiv,pathos,npp22,biodiv2,DivDiff
Bambote,1,0,2,-6.64,28.26,0.25,-0.602059991,1515.953782,0.376337676,0.546595404,2298115.869,1416.3,0.096337676
Baka,1,0,3,2.39,15.31,0.1363,-0.865504144,1963.12406,0.444218922,0.732233443,3853856.075,1973.3,0.164218922
Efe,1,0,3,2.7,27.64,0.1596,-0.796967113,2276.034624,0.508093102,0.750305364,5180333.61,2581.59,0.228093102
Mbuti,1,0,2,1.54,28.61,0.44,-0.356547324,2084.198565,0.559453055,0.767421373,4343883.658,3129.88,0.279453055
Mikea,1,0,,-22.32,43.81,0.0436,-1.360513511,1060.627846,0.170882917,0.442960866,1124931.428,292.01,0.109117083
Hukwe,1,0,,-16.93,24.32,0.029,-1.537602002,1163.399536,0.386145416,0.164695055,1353498.48,1491.08,0.106145416
Hai//Om,1,0,2,-18.65,16.12,0.0384,-1.415668776,743.6323435,0.299926711,0.012740624,552989.0623,899.56,0.019926711
Hadza,1,0,1,-3.82,35.32,0.24,-0.619788758,1156.067925,0.491299267,0.652735042,1336493.047,2413.75,0.211299267
Dorobo (Okiek),1,0,1,0,36,0.4081,-0.389233405,1442.247171,0.60479949,0.714311289,2080076.902,3657.82,0.32479949
Sekele,1,0,2,-16.42,19.53,0.0152,-1.818156412,1149.935897,0.293600433,0.120777488,1322352.567,862.01,0.013600433
!Kung,1,0,2,-20,21.18,0.066,-1.180456064,742.1336178,0.270551481,-0.073538515,550762.3067,731.98,0.009448519
Nharo,1,0,2,-21.64,21.61,0.125,-0.903089987,748.1225541,0.221494353,-0.098115422,559687.356,490.6,0.058505647
G/Wi,1,0,1,-22.46,23.39,0.0293,-1.53313238,647.2419256,0.210085397,-0.062655894,418922.1103,441.36,0.069914603
Kua,1,0,1,-22.88,24.41,0.0636,-1.196542884,648.8036384,0.215169792,-0.043856119,420946.1612,462.98,0.064830208
!Ko,1,0,1,-23.86,22.2,0.0103,-1.987162775,607.8601773,0.19305607,-0.113010906,369493.9951,372.71,0.08694393
/Auni-khomani,1,0,2,-27.37,19.82,0.0064,-2.193820026,268.1247213,0.169485356,-0.163171319,71890.86617,287.25,0.110514644
//Xegwi,1,0,2,-26.28,30.23,0.0357,-1.447331784,1258.413832,0.343798944,0.052170108,1583605.373,1181.98,0.063798944
/Xam,1,0,1,-31.47,19.77,0.0243,-1.614393726,455.4844235,0.243734853,-0.154677328,207466.0601,594.07,0.036265147
Kaurareg,1,0,1,-10.77,142.12,0.35,-0.455931956,2005.60395,0.264333152,-0.325885681,4022447.204,698.72,0.015666848
Larikia,1,0,2,-12.6,130.78,0.4,-0.397940009,1962.435346,0.277608875,-0.208273856,3851152.487,770.67,0.002391125
Gunwinggu,1,0,2,-12.43,134.12,0.1784,-0.74860515,1683.137137,0.238634524,-0.28757093,2832950.622,569.46,0.041365476
Mirrngadja,1,0,1,-12.31,135.2,0.385,-0.41453927,1694.455378,0.237749458,-0.306925881,2871179.028,565.25,0.042250542
Anbara,1,0,1,-12.2,134.73,0.437,-0.359518563,1628.703985,0.237803756,-0.298628267,2652676.671,565.51,0.042196244
Gidjingali,1,0,1,-12.18,134.4,0.727,-0.138465589,1660.20544,0.239419368,-0.292653162,2756282.103,573.22,0.040580632
Murngin (Yolngu),1,0,1,-12.93,135.84,0.1176,-0.929592678,1676.12335,0.226481179,-0.320366348,2809389.484,512.94,0.053518821
Jeidji (Forest-river),1,0,2,-15.55,128.19,0.17,-0.769551079,1159.737382,0.241911017,-0.176965038,1344990.795,585.21,0.038088983
Wikmunkan,1,0,2,-13.47,142,0.0841,-1.075204004,1944.367315,0.232974564,-0.335468222,3780564.256,542.77,0.047025436
Kakadu,1,0,2,-13.13,132.95,0.088,-1.055517328,1821.356397,0.238341968,-0.269265433,3317339.125,568.07,0.041658032
